petition_uid,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
d4fcf224,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
ca8de255,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
802dc93d,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fce975b1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56d864bf,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4866802,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
a12ccf15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8c64362c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3e37ed3d,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8f873a4f,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439e79f8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0065672b,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
e9591153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ea0dab27,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7208c309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6a96ad94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
5e62b167,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
dfec690b,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b30b856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ac0b91fc,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
cf39db6d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad3a6f9b,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e5c54014,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c8d3938,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13eaedc4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
330565fa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50b7f651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75be267d,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947dd0f4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a75c2dae,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7f54df67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5730096d,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f05a358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9f1dac44,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
2fdb852f,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
